season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
10,Play in,INTZ,Envy,5,1,4,20,1.6,2.4,6.4,3.33,296.2,8.17,13.1,360,16200,446,75.5,15.1,21.9
10,Play in,INTZ,micaO,5,1,4,20,1.8,2.2,6.6,3.82,267.4,7.37,12.8,352,16500,454,79.2,17,21.5
10,Play in,INTZ,RedBert,5,1,4,20,1,3.2,6.6,2.38,47.6,1.31,8,222,5500,152,71.7,9.4,13.5
10,Play in,INTZ,Shini,5,1,4,20,1.6,3.2,5,2.06,206,5.68,11.2,308,9000,248,62.3,15.1,18.8
10,Play in,INTZ,Tay,5,1,4,20,4.6,3.2,2.6,2.25,296.6,8.18,14.4,398,15500,427,67.9,43.4,24.3
10,Play in,Legacy_Esports,Babip,8,3,5,37.5,3.13,2.5,6.88,4,193.25,6.2,11.1,355,13100,420,81.6,25.5,20.8
10,Play in,Legacy_Esports,Isles,8,3,5,37.5,0.38,3.38,7.88,2.44,34.25,1.1,6.9,220,3900,127,67.3,3.1,12.9
10,Play in,Legacy_Esports,Raes,8,3,5,37.5,4.25,3.38,4.5,2.59,269.5,8.65,13,416,15700,503,71.4,34.7,24.3
10,Play in,Legacy_Esports,Tally,8,3,5,37.5,1.88,2.38,7.38,3.89,234,7.51,11.1,355,11800,378,75.5,15.3,20.8
10,Play in,Legacy_Esports,Topoon,8,3,5,37.5,2.63,2.63,6,3.29,211.75,6.8,11.3,364,13700,438,70.4,21.4,21.3
10,Play in,LGD_Gaming,Kramer,11,8,3,72.7,3.82,1.27,5.55,7.36,311.09,9.38,14.4,434,18700,563,68.2,27.8,23.5
10,Play in,LGD_Gaming,Langx,11,8,3,72.7,2.55,2.18,6.45,4.13,269.45,8.12,13,393,13800,416,65.6,18.5,21.3
10,Play in,LGD_Gaming,Mark,11,8,3,72.7,1,2.09,8.09,4.35,38.55,1.16,7.8,236,4300,128,66.2,7.3,12.8
10,Play in,LGD_Gaming,Peanut,11,8,3,72.7,2.64,2.45,6,3.52,209.55,6.32,11.6,351,10000,301,62.9,19.2,19
10,Play in,LGD_Gaming,xiye,11,8,3,72.7,3.73,2.82,6.73,3.71,284.27,8.57,14.2,429,18000,543,76.2,27.2,23.3
10,Play in,MAD_Lions,Carzzy,10,4,6,40,2.7,2.8,5.9,3.07,210.3,6.28,11.5,345,18000,536,73.5,23.1,20.4
10,Play in,MAD_Lions,Humanoid,10,4,6,40,2.9,3.3,4.9,2.36,320.1,9.56,14.1,420,20100,600,66.7,24.8,24.8
10,Play in,MAD_Lions,Kaiser,10,4,6,40,1.1,3.5,7.2,2.37,80.6,2.41,8.3,248,6300,187,70.9,9.4,14.7
10,Play in,MAD_Lions,Orome,10,4,6,40,2.4,3.2,5.6,2.5,234.1,6.99,11.6,348,12100,360,68.4,20.5,20.6
10,Play in,MAD_Lions,Shad0w,10,4,6,40,2.6,3.6,5,2.11,208.7,6.23,11.1,330,12300,367,65,22.2,19.5
10,Play in,Papara_SuperMassive,Armut,12,5,7,41.7,3.75,2.67,6.08,3.69,242,7.69,12,381,13700,436,72.8,27.8,22.4
10,Play in,Papara_SuperMassive,Bolulu,12,5,7,41.7,2.33,2.75,6.08,3.06,232,7.37,11,349,12400,394,62.3,17.3,20.5
10,Play in,Papara_SuperMassive,KaKAO,12,5,7,41.7,2.92,2.67,7.08,3.75,214.58,6.82,11.3,360,14200,452,74.1,21.6,21.1
10,Play in,Papara_SuperMassive,SnowFlower,12,5,7,41.7,0.67,3.67,7.58,2.25,35.75,1.14,6.9,220,4300,137,61.1,4.9,13
10,Play in,Papara_SuperMassive,Zeitnot,12,5,7,41.7,3.83,2.67,5.67,3.56,254.83,8.1,12.3,391,15800,503,70.4,28.4,23
10,Play in,PSG_Talon,Hanabi,5,4,1,80,3.6,2.6,8.6,4.69,265.8,8.13,13.1,400,15700,479,64.9,19.1,21.6
10,Play in,PSG_Talon,Kaiwing,5,4,1,80,0.6,1.4,14.4,10.71,40.4,1.24,7.9,241,4700,144,79.8,3.2,13
10,Play in,PSG_Talon,Kongyue,5,4,1,80,6.8,1.2,7.8,12.17,254,7.77,13.9,425,16100,493,77.7,36.2,22.9
10,Play in,PSG_Talon,Uniboy,5,4,1,80,5.2,0.6,9.2,24,270.8,8.28,13.6,417,16600,508,76.6,27.7,22.5
10,Play in,PSG_Talon,Dee,3,2,1,66.7,3,1.33,11.67,11,244.33,7.16,12.9,380,16100,471,78.6,16.1,20.8
10,Play in,PSG_Talon,Unified,2,2,0,100,2,1.5,12.5,9.67,207.5,6.78,10.7,351,12200,398,76.3,10.5,18.6
10,Play in,Movistar_R7,Acce,7,2,5,28.6,1.86,3.29,4.57,1.96,238.43,7.3,11.1,341,12200,372,59.2,17.1,20.5
10,Play in,Movistar_R7,Aloned,7,2,5,28.6,3.29,3.43,4.29,2.21,259.86,7.95,12.5,382,15000,459,69.7,30.3,23
10,Play in,Movistar_R7,Josedeodo,7,2,5,28.6,3.14,2.71,3.86,2.58,196.14,6,10.9,334,10900,332,64.5,28.9,20.1
10,Play in,Movistar_R7,Leza,7,2,5,28.6,1.86,3.14,4.43,2,247.29,7.57,12,368,12700,388,57.9,17.1,22.1
10,Play in,Movistar_R7,Shadow,7,2,5,28.6,0.71,2.57,6,2.61,70.14,2.15,7.8,240,5500,167,61.8,6.6,14.4
10,Play in,Team_Liquid,Broxah,5,4,1,80,4.2,1.2,7,9.33,190,6.37,11.2,375,10000,335,67.5,25.3,19.8
10,Play in,Team_Liquid,CoreJJ,5,4,1,80,0.2,1,12,12.2,33.8,1.13,7.3,247,3600,121,73.5,1.2,13
10,Play in,Team_Liquid,Impact,5,4,1,80,3.2,1.8,6.8,5.56,221.2,7.42,11.4,382,12500,420,60.2,19.3,20.1
10,Play in,Team_Liquid,Jensen,5,4,1,80,5.8,1.4,7,9.14,267,8.96,13.6,456,13900,466,77.1,34.9,24
10,Play in,Team_Liquid,Tactical,5,4,1,80,3.2,1.6,8.6,7.38,273.8,9.18,13.1,440,13900,465,71.1,19.3,23.2
10,Play in,Unicorns_of_Love_2e-CIS,AHaHaCiK,8,6,2,75,3.88,2.75,7.75,4.23,197,6.22,11.7,369,11700,369,67.4,22.5,19.8
10,Play in,Unicorns_of_Love_2e-CIS,BOSS,8,6,2,75,3.38,2.75,5.63,3.27,233.13,7.36,12.7,399,13300,420,52.2,19.6,21.4
